study_hours_per_week,attendance_rate,midterm_score,homework_avg_score,sleep_hours_per_night,time_on_social_media_min_per_day,gender,commute_time_minutes,has_part_time_job,favorite_music_genre,final_exam_score
19.0,0.68,66.0,65.0,5.0,51.0,0.0,86.0,0.0,calm,82.0
17.6,0.7,80.0,72.0,8.6,181.0,1.0,32.0,1.0,energetic,93.0
17.0,0.73,48.0,39.0,5.4,112.0,1.0,36.0,0.0,energetic,76.0
37.5,0.88,85.0,67.0,4.5,141.0,0.0,59.0,1.0,energetic,100.0
37.5,0.82,84.0,66.0,8.0,282.0,0.0,88.0,1.0,energetic,100.0
24.8,0.96,61.0,53.0,6.7,232.0,0.0,55.0,1.0,calm,88.0
25.0,0.94,42.0,51.0,9.6,228.0,0.0,22.0,0.0,calm,83.0
31.4,0.86,95.0,63.0,7.9,118.0,0.0,40.0,1.0,energetic,100.0
31.7,0.71,86.0,52.0,6.8,273.0,0.0,73.0,0.0,energetic,98.0
11.5,0.58,55.0,64.0,5.0,272.0,0.0,45.0,1.0,energetic,72.0
33.1,0.92,50.0,43.0,5.7,163.0,1.0,46.0,0.0,calm,93.0
21.8,0.53,89.0,55.0,6.9,117.0,0.0,52.0,1.0,calm,94.0
24.9,0.7,56.0,46.0,5.8,236.0,1.0,41.0,0.0,calm,84.0
16.8,0.68,89.0,76.0,8.6,81.0,0.0,26.0,0.0,calm,93.0
7.6,0.58,47.0,48.0,4.4,52.0,0.0,87.0,1.0,calm,61.0
38.3,0.94,91.0,76.0,8.8,124.0,1.0,28.0,0.0,calm,100.0
16.6,0.78,53.0,41.0,4.8,92.0,1.0,35.0,1.0,calm,79.0
6.7,0.59,91.0,57.0,7.7,41.0,0.0,23.0,0.0,calm,90.0
21.8,0.63,79.0,50.0,6.3,40.0,1.0,23.0,1.0,calm,93.0
25.1,0.82,74.0,3.0055646040487574,6.5,59.0,0.0,22.0,0.0,calm,96.0
36.2,0.76,51.0,57.0,6.2,185.0,1.0,40.0,0.0,calm,96.0
26.9,0.77,45.0,58.0,7.0,186.0,1.0,29.0,1.0,calm,89.0
9.8,0.67,63.0,41.0,4.4,186.0,0.0,72.0,0.0,energetic,70.0
12.2,0.58,46.0,59.0,4.0,286.0,1.0,76.0,0.0,calm,69.0
25.5,0.94,45.0,43.0,8.0,272.0,1.0,24.0,0.0,energetic,81.0
31.4,0.75,56.0,40.0,9.0,68.0,0.0,40.0,0.0,energetic,91.0
7.7,0.47,91.0,48.0,8.3,172.0,0.0,78.0,0.0,calm,75.0
28.8,0.69,83.0,73.0,7.0,32.0,0.0,55.0,1.0,calm,98.0
8.6,0.5,66.0,40.0,4.8,116.0,1.0,62.0,1.0,calm,71.0
37.0,0.86,49.0,42.0,9.8,58.0,0.0,25.0,0.0,calm,93.0
7.4,0.5,49.0,44.0,9.8,208.0,0.0,39.0,0.0,energetic,58.0
7.7,0.55,71.0,45.0,8.9,279.0,1.0,88.0,,energetic,69.0
40.0,0.87,45.0,38.0,9.1,70.0,1.0,49.0,1.0,energetic,99.0
30.3,0.9,66.0,51.0,6.9,217.0,0.0,80.0,0.0,calm,99.0
27.5,0.83,51.0,47.0,9.0,131.0,0.0,81.0,1.0,calm,89.0
30.0,0.68,66.0,47.0,6.4,53.0,1.0,59.0,0.0,energetic,96.0
26.6,0.89,59.0,56.0,7.1,226.0,1.0,82.0,1.0,calm,97.0
30.4,0.86,94.0,68.0,9.0,96.0,0.0,55.0,0.0,calm,100.0
11.9,0.78,56.0,60.0,8.3,171.0,0.0,43.0,0.0,calm,77.0
23.6,0.65,64.0,43.0,4.2,254.0,0.0,31.0,1.0,calm,82.0
12.4,0.69,78.0,45.0,6.2,239.0,0.0,16.0,1.0,calm,77.0
17.0,0.8,45.0,55.0,4.5,243.0,1.0,42.0,1.0,energetic,72.0
27.8,0.71,87.0,67.0,8.2,211.0,0.0,66.0,1.0,calm,94.0
16.0,0.67,81.0,70.0,7.6,76.0,0.0,15.0,0.0,calm,93.0
23.1,0.49,50.0,45.0,6.6,284.0,1.0,49.0,1.0,energetic,71.0
5.3,0.5,42.0,37.0,6.4,179.0,0.0,19.0,0.0,energetic,58.0
30.3,0.66,61.0,57.0,6.6,118.0,0.0,63.0,0.0,energetic,92.0
19.6,0.71,61.0,63.0,8.9,300.0,0.0,89.0,1.0,energetic,85.0
21.9,0.68,85.0,47.0,8.4,202.0,0.0,51.0,0.0,energetic,89.0
20.7,0.78,78.0,46.0,6.1,266.0,1.0,22.0,0.0,energetic,89.0
9.8,0.68,47.0,62.0,7.8,115.0,0.0,18.0,1.0,calm,68.0
18.1,0.78,77.0,58.0,9.4,61.0,1.0,81.0,1.0,energetic,91.0
38.4,0.76,93.0,48.0,6.8,271.0,1.0,82.0,1.0,energetic,100.0
11.4,0.54,43.0,63.0,8.5,142.0,0.0,31.0,1.0,calm,66.0
34.3,0.88,50.0,48.0,8.9,37.0,1.0,13.0,0.0,energetic,95.0
5.5,0.59,84.0,50.0,6.5,110.0,1.0,24.0,1.0,calm,75.0
33.3,0.96,66.0,47.0,6.9,148.0,0.0,53.0,1.0,calm,100.0
5.6,0.52,80.0,49.0,7.8,241.0,1.0,75.0,0.0,calm,74.0
36.0,0.87,66.0,40.0,9.6,35.0,1.0,14.0,0.0,energetic,99.0
70.42734975746302,0.69,42.0,54.0,7.3,278.0,0.0,37.0,0.0,energetic,69.0
27.5,0.77,66.0,44.0,5.6,153.0,1.0,84.0,0.0,calm,85.0
14.0,0.55,82.0,53.0,7.3,64.0,1.0,67.0,0.0,energetic,81.0
30.9,0.59,48.0,37.0,4.6,285.0,1.0,62.0,0.0,energetic,75.0
14.3,0.87,51.0,44.0,6.4,33.0,1.0,41.0,1.0,calm,85.0
22.4,0.69,86.0,70.0,6.0,68.0,1.0,54.0,1.0,energetic,99.0
37.8,0.91,90.0,58.0,5.6,105.0,0.0,33.0,1.0,energetic,100.0
20.0,0.65,49.0,41.0,6.6,199.0,0.0,79.0,1.0,calm,76.0
38.0,0.85,59.0,39.0,4.8,256.0,0.0,22.0,1.0,calm,89.0
39.8,1.0,49.0,61.0,5.7,287.0,1.0,23.0,1.0,energetic,100.0
37.8,0.78,42.0,59.0,5.7,228.0,0.0,71.0,1.0,energetic,91.0
18.0,0.54,89.0,57.0,9.6,119.0,1.0,5.0,1.0,energetic,90.0
13.2,0.62,92.0,65.0,6.9,50.0,0.0,46.0,1.0,energetic,94.0
24.1,0.63,90.0,59.0,9.7,118.0,0.0,83.0,1.0,energetic,99.0
20.3,0.72,54.0,46.0,5.4,278.0,1.0,51.0,0.0,energetic,76.0
22.8,0.72,77.0,55.0,5.9,173.0,0.0,22.0,1.0,energetic,87.0
18.8,0.59,51.0,60.0,6.6,150.0,0.0,64.0,1.0,calm,73.0
13.8,0.67,44.0,40.0,9.1,91.0,1.0,16.0,1.0,calm,75.0
8.2,0.79,50.0,36.0,7.6,215.0,1.0,87.0,0.0,energetic,69.0
14.2,0.53,92.0,58.0,9.9,278.0,1.0,60.0,0.0,calm,84.0
39.3,0.82,66.0,48.0,9.5,284.0,0.0,73.0,0.0,energetic,100.0
28.2,0.65,83.0,75.0,9.9,162.0,0.0,82.0,1.0,energetic,91.0
13.7,0.73,41.0,36.0,7.8,118.0,0.0,19.0,0.0,energetic,67.0
11.9,0.61,74.0,71.0,9.8,133.0,1.0,90.0,1.0,energetic,81.0
13.8,0.52,63.0,64.0,8.4,122.0,0.0,44.0,0.0,calm,81.0
18.2,0.57,62.0,54.0,9.8,154.0,1.0,57.0,0.0,energetic,79.0
23.5,0.82,,61.0,8.6,212.0,0.0,6.0,0.0,calm,96.0
14.8,0.66,69.0,45.0,9.9,66.0,1.0,64.0,0.0,energetic,80.0
8.1,0.54,80.0,57.0,7.1,70.0,0.0,,0.0,energetic,72.0
23.7,0.71,48.0,35.0,9.5,276.0,1.0,25.0,1.0,energetic,71.0
23.4,0.72,65.0,51.0,9.2,57.0,1.0,57.0,1.0,energetic,89.0
10.9,0.67,65.0,58.0,6.2,64.0,0.0,87.0,1.0,calm,81.0
16.4,0.69,87.0,51.0,7.7,264.0,0.0,57.0,1.0,calm,84.0
25.6,0.74,74.0,64.0,8.0,259.0,1.0,80.0,0.0,energetic,98.0
9.7,0.56,62.0,47.0,4.6,76.0,0.0,43.0,,energetic,74.0
26.9,0.74,75.0,50.0,7.2,38.0,0.0,45.0,0.0,calm,100.0
10.9,0.56,42.0,60.0,8.0,82.0,1.0,80.0,0.0,energetic,66.0
7.9,0.7,64.0,64.0,6.7,109.0,1.0,61.0,0.0,energetic,82.0
5.8,0.7,88.0,48.0,5.4,-210.96138412589235,1.0,53.0,1.0,calm,75.0
21.7,0.72,43.0,35.0,5.6,42.0,1.0,56.0,0.0,energetic,82.0
25.4,0.59,65.0,66.0,4.4,131.0,0.0,23.0,0.0,energetic,84.0
9.1,0.68,59.0,64.0,8.3,32.0,1.0,79.0,0.0,calm,79.0
27.8,0.84,70.0,66.0,7.6,206.0,1.0,74.0,0.0,energetic,95.0
27.5,0.77,47.0,40.0,9.0,96.0,1.0,23.0,0.0,calm,85.0
6.7,0.69,62.0,67.0,8.0,216.0,0.0,62.0,0.0,calm,74.0
29.2,0.78,54.0,64.0,8.1,91.0,0.0,9.0,0.0,energetic,94.0
37.7,0.89,50.0,51.0,9.4,206.0,1.0,39.0,0.0,energetic,91.0
31.3,0.8,51.0,62.0,4.8,151.0,1.0,7.0,1.0,calm,90.0
25.8,0.83,53.0,64.0,4.8,,0.0,32.0,1.0,calm,86.0
31.9,0.9,89.0,50.0,10.0,95.0,0.0,43.0,0.0,energetic,100.0
29.4,0.7,46.0,53.0,6.3,227.0,1.0,45.0,1.0,calm,83.0
